State,Code,Location,"Square
Feet","Year
Opened",Description of Operation
Kentucky,IVSA,"4620 Olympic Blvd, Erlanger, Kentucky, USA, 41018","109,200","August
2015",Specialty Small and Light Products
Maryland,BWIO/ BWI2,"2010 Broening Highway, Baltimore, Maryland, USA, 21224-6027","1,017,600","March
2015",Small Sortable
Maryland,"XUSD
XUSM","610 Chelsea Rd, Aberdeen, Maryland, USA, 21001","571,800","October
2016","Large Non-Sortable
Run by 3PL XPO Logistics"
Maryland,MDT2,"600 Principio Parkway West, Cecil, North East. Maryland, USA, 21901",1.148.900,"September
2017",Large Non-Sortable
Massachusetts,BOS7,"1180 Innovation Way, Fall River, Massachusetts, USA, 02722- 4766","1,000,000","October
2016",Small Sortable
Michigan,DTW1,"39000 Amrhein Rd., Livonia. Michigan. USA, 48150",1.009.000,"October
2017",Large Non-Sortable
Michigan,DTW2,"Junction of Wick Road & Vining Road, Romulus, Michigan, USA, 48174","855,000",2018,Small Sortable
Michigan,DTW3,"23 Mile and Mound Roads, Shelby Township, Michigan, USA, 48316","1,000,000",2018,Large Non-Sortable
Minnesota,MSP1,"2601 4th Ave E, Shakopee, Minnesota, USA, 55379-1726","820,000","July
2016","Small Sortable
$220 Million facility 2,000 associates"
Nevada,LAS2,"3837 Bay Lake Trail, Suite 111, North Las Vegas, Nevada, USA, 89030","283,900","October
2008",Amazon Pantry (FDFC) Return Center
Nevada,LASE,"4550 Nexus Way, North Las
Vegas, Nevada, USA, 89115","813,100","Summer
2017",Large Non-Sortable
Nevada,RNO3,"555 Milan Dr, Sparks, Nevada, USA, 89434",566.900,"November
2010","Diaper.com Fulfillment Center that was owned by Quidsi Inc. which Amazon acquired in November, 2010"
Nevada,RNO4,"8000 North Virginia Street , Reno, Nevada, USA, 89506","634,000","January
2015","Large and Small Sortable
Facility replaced the Fernley, Nevada FC"
New Hampshire,BOS1,"10 State Street, Nashua. New Hampshire, USA, 03063","63,800","July
2007",Small Sortable (FDFC)
New Jersey,EWR4,"50 New Canton Way, Robbinsville, New Jersey, USA, 08691-2350","1,200,000","June
2014",Small Sortable 2500 associates
New Jersey,EWR8,"698 Route 46 West, Teterboro. New Jersey, USA, 07608",617.000,"June
2017",Large Non-Sortable
New Jersey,"LGA6/
EWR9","8003 Industrial Ave, Building A, Carteret, New Jersey, USA, 07008-3529","1,064,500","August
2016","Small Sortable
Formerly a Wakefern Distribution Center"
New Jersey,LGA9,"2170 State Route 27, Edison. New Jersey, USA, 08817-3332",923.000,Q4 2017,Small Sortable
New Jersey,TEB6,"22 Hightstown-Cranbury Station Road, Cranbury Township, New Jersey, USA, 08512","930,000",Q2 2017,Large Non-Sortable
New Jersey,TEB3,"2651 Oldmans Creek Rd, Swedesboro, Logan Township, New Jersey, USA, 08085","1,181,200",Q2 2017,Large Non-Sortable
New York,,"656 Gulf Ave, Staten Island, New York, USA, 10314","855,000",Q3 2018,Small Sortable
North Carolina,CLT2,"Macedonia Church Road. Kannapolis, North Carolina. USA, 28027","1,000,000",2019,Large Non-Sortable
Ohio,CMH1/ CMHO,"11903 National Rd SW, Etna, Ohio, USA, 43062-7793","855000
,","September
2016","Small Sortable; Specialty Small and Light 3000 associates
Investment $90 Million"
Ohio,CMH2,"6050 Gateway Court, Obetz, Ohio, USA, 43125","1,000,000","December
2016","Large Sortable
New FC announced for Ohio. 500 associates"
Ohio,CLE1,"20801 N Miles Rd, North
Randall, Cleveland, Ohio, USA, 44128","855,000",Q2 2018,"Small Sortable
New FC for Ohio to be confirmed by Amazon"
Ohio,,"Monroe, Ohio, USA, 45036","1,000.000",2018,"Large Non-Sortable
No ETA date announced yet"
Oregon,PDX1,"Troutdale Reynolds Industrial Park","855,000","July
2018","Small Sortable
No ETA date announced yet"
Oregon,PD X2,"4775 Depot Court, Salem, Oregon, USA, 97317","1,000,000","July
2018","Large Non-Sortable
No ETA date announced yet"
Oregon,PDX3,"Portland, Oregon, USA, 97060","1,000,000",2018,"Large Non-Sortable
No ETA date announced yet"
Pennsylvania,"ABE1/
ABE2","705 Boulder Drive, Breinigsville, Pennsylvania, USA, 18031",600.000,"July
2010",Large Sortable
Pennsylvania,ABE3,"650 Boulder Drive , Breinigsville, Pennsylvania, USA, 18031-1536","483,000","June
2011",Small Sortable (Books & Printed Media)
Pennsylvania,AVP2/ AVP3,"298 1st Avenue, Gouldsboro, Pennsylvania","1,250,000","November
2010 ","Diaper.com Fulfillment Center that was owned by Quidsi Inc. which Amazon acquired in November, 2010"
Pennsylvania,PHL4,"21 Roadway Drive, Carlisle, Pennsylvania, USA, 17015","558,700","September
2010",Large Non-Sortable
Pennsylvania,PHLS,"500 McCarthy Dr., Lewisberry, Pennsylvania, USA, 17339-8725","750,000","August
2010",Large Non-Sortable
Pennsylvania,PHL6,"675 Allen Rd. , Carlisle, Pennsylvania, USA, 17015-7788","1,206,500","August
2010",Large Non-Sortable
Pennsylvania,ABES,"6455 Allentown Boulevard, Harrisburg, Pennsylvania, USA, 17112","200,000",2014,Large Non-Sortable 3PL NFI Industries
Pennsylvania,XUSC,"40 Logistics Drive, Carlisle,
Pennsylvania, USA, 17013","421,200","May
2013","Large Non-Sortable (e.g. fishing rods, canoes, etc.)"
Pennsylvania,XUSG,"9645 West Hills Ct, Kutztown, Pennsylvania. USA, 19530-8644","413,800","May
2014",Large Non-Sortable 3PL NFI Industries
Pennsylvania,MDT1,"2 Ames Drive, Building #2, Carlisle, Pennsylvania, USA, 17015","700,000","January
2015",Large Non-Sortable
Pennsylvania,ABE4,"1610 Van Buren Road, Easton, Pennsylvania, USA, 18045-7807","1,106,400","November
2016",Large Sortable
Pennsylvania,AVP8,"250 Enterprise Way, Pittston, Pennsylvania, USA, 18640-5000","399,500","November
2016",Replaces AVP6 which was closed in July 2016. Supplemental Fulfillment Center.
South Carolina,CAE1,"4400 12 Street Extension, West Columbia (Cayce), South Carolina, USA, 29172-3300","1,250,000","October
2011",Small Sortable
